location,lat,lon,mention_count,entertainment_score_mean,entertainment_score_present_share,entertainment_score_strong_share,entertainment_score_sum,bad_news_score_mean,bad_news_score_present_share,bad_news_score_strong_share,bad_news_score_sum,magnitude_score_mean,magnitude_score_present_share,magnitude_score_strong_share,magnitude_score_sum,good_news_score_mean,good_news_score_present_share,good_news_score_strong_share,good_news_score_sum,celebrity_score_mean,celebrity_score_present_share,celebrity_score_strong_share,celebrity_score_sum,power_elite_score_mean,power_elite_score_present_share,power_elite_score_strong_share,power_elite_score_sum,dominant_news_values,dominant_map_category
Groningen,53.2190652,6.5680077,651,9.98463901689708,0.09984639016897082,0.09984639016897082,6500,21.351766513056834,0.21351766513056836,0.21351766513056836,13900,25.268817204301076,0.3686635944700461,0.13671274961597543,16450,12.135176651305683,0.1228878648233487,0.11981566820276497,7900,1.9969278033794162,0.026113671274961597,0.013824884792626729,1300,12.135176651305683,0.2119815668202765,0.030721966205837174,7900,magnitude,magnitude
Groot-Ammers,51.9243571,4.8243822,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Grou,53.0936536,5.8322342,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,100.0,1.0,1.0,100,100.0,1.0,1.0,100,0.0,0.0,0.0,0,good_news,good_news
Haaften,51.8179601,5.2127103,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Haaksbergen,52.1564581,6.740239,8,0.0,0.0,0.0,0,37.5,0.375,0.375,300,18.75,0.375,0.0,150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18.75,0.375,0.0,150,bad_news,bad_news
Haaren,51.6022563,5.227508,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Haarle,52.3591748,6.3805672,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Haarlem,52.3885317,4.6388048,132,6.818181818181818,0.06818181818181818,0.06818181818181818,900,41.666666666666664,0.4166666666666667,0.4166666666666667,5500,23.484848484848484,0.44696969696969696,0.022727272727272728,3100,1.5151515151515151,0.015151515151515152,0.015151515151515152,200,1.1363636363636365,0.015151515151515152,0.007575757575757576,150,19.696969696969695,0.3939393939393939,0.0,2600,bad_news,bad_news
Hagestein,51.9810496,5.1220284,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,0.5,0.5,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Halfweg,52.3826063,4.7546903,4,50.0,0.5,0.5,200,25.0,0.25,0.25,100,25.0,0.5,0.0,100,25.0,0.25,0.25,100,0.0,0.0,0.0,0,12.5,0.25,0.0,50,entertainment,entertainment
